Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,62.0,1.0,62.0,62.0,0.1,54.006999999999984,0.0,0.0,0.0053708553314208984,,,,,,,,,,,,,,,,,,,,,24.387818332629983,16.925356081308077,52.6001028690121,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,112.0,2.0,50.0,112.0,0.1,38.010999999999974,0.0,0.0,4.772575616836548,,,,,,,,,,,,,,,,,,,,,15.393898952896711,12.692192988162729,37.31589953552668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,145.0,3.0,33.0,145.0,0.1,25.00700000000001,0.0,0.0,8.281724691390991,,,,,,,,,,,,,,,,,,,,,10.524225430140683,8.500768286470283,24.709094039790905,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,168.0,4.0,23.0,168.0,0.1,14.007999999999996,0.0,0.0,10.71659779548645,,,,,,,,,,,,,,,,,,,,,5.156363495999427,5.058254457636554,13.917224170709261,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,210.0,5.0,42.0,210.0,0.1,33.00799999999998,0.0,0.0,14.693311929702759,,,,,,,,,,,,,,,,,,,,,13.995459795260496,10.983089442874787,32.48512846039139,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,357.0,6.0,147.0,357.0,0.1,120.02600000000012,0.0,0.0,27.854830503463745,,,,,,,,,,,,,,,,,,,,,50.320424443386045,34.60063247574396,112.85449373980818,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,446.0,7.0,89.0,446.0,0.1,61.02699999999994,0.0,0.0,35.91566777229309,,,,,,,,,,,,,,,,,,,,,25.12147137454099,17.209798412253082,58.90894803478739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,509.0,8.0,63.0,509.0,0.1,54.00799999999998,0.0,0.0,42.04396867752075,,,,,,,,,,,,,,,,,,,,,24.001679726116752,17.06490094701221,52.60104366353806,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,541.0,9.0,32.0,541.0,0.1,22.00900000000001,0.0,0.0,45.213858127593994,,,,,,,,,,,,,,,,,,,,,8.538599429074615,7.665148952744145,21.779301642252477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,574.0,10.0,33.0,574.0,0.1,23.00900000000001,0.0,0.0,48.49460053443909,,,,,,,,,,,,,,,,,,,,,8.99908928935325,7.981257492764585,22.757522340610226,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,634.0,11.0,60.0,634.0,0.1,50.00899999999998,0.0,0.0,54.12015700340271,,,,,,,,,,,,,,,,,,,,,21.727641734669405,16.047267045029194,48.80289849000136,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,673.0,12.0,39.0,673.0,0.1,27.011000000000013,0.0,0.0,58.16356039047241,,,,,,,,,,,,,,,,,,,,,10.300960867219409,9.30247235651697,26.662560985588645,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,700.0,13.0,27.0,700.0,0.1,18.00800000000001,0.0,0.0,60.906474113464355,,,,,,,,,,,,,,,,,,,,,6.9648410771201315,6.363086827517065,17.85564272071647,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,766.0,14.0,66.0,766.0,0.1,57.00799999999998,0.0,0.0,67.03816032409668,,,,,,,,,,,,,,,,,,,,,25.43069810741639,17.91086430542493,55.44039928307739,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,790.0,15.0,24.0,790.0,0.1,16.00700000000001,0.0,0.0,69.57852673530579,,,,,,,,,,,,,,,,,,,,,6.305524041505347,5.695974223053924,15.887426388354193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,822.0,16.0,32.0,822.0,0.1,23.00800000000001,0.0,0.0,72.7473554611206,,,,,,,,,,,,,,,,,,,,,9.279295910416907,7.942418378612332,22.75655288007393,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,859.0,17.0,37.0,859.0,0.1,28.00800000000001,0.0,0.0,76.61112308502197,,,,,,,,,,,,,,,,,,,,,11.627863057796365,9.47899290955629,27.6330074487516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,922.0,18.0,63.0,922.0,0.1,55.006999999999984,0.0,0.0,82.51397347450256,,,,,,,,,,,,,,,,,,,,,24.865693522006918,17.20607850589469,53.54750276614308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,945.0,19.0,23.0,945.0,0.1,15.006999999999996,0.0,0.0,84.99440217018127,,,,,,,,,,,,,,,,,,,,,5.8461320884418475,5.373576851069682,14.902328717071263,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,983.0,20.0,38.0,983.0,0.1,29.00800000000001,0.0,0.0,88.6995940208435,,,,,,,,,,,,,,,,,,,,,12.100202689613871,9.782154538069728,28.605374441302846,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,43.0,1.0,43.0,1026.0,0.1,34.00799999999998,0.0,0.0,183.5774621963501,,,,,,,,,,,,,,,,,,,,,14.47043028115209,11.280649902245063,33.452643331931,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,98.0,2.0,55.0,1081.0,0.1,45.00899999999998,0.0,0.0,188.41622710227966,,,,,,,,,,,,,,,,,,,,,19.3529004253942,14.60344996073507,44.03261166732631,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,134.0,3.0,36.0,1117.0,0.1,27.00800000000001,0.0,0.0,191.91896557807922,,,,,,,,,,,,,,,,,,,,,11.156265519365627,9.17454302838589,26.659667115867467,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,173.0,4.0,39.0,1156.0,0.1,32.005999999999986,0.0,0.0,195.8910756111145,,,,,,,,,,,,,,,,,,,,,14.212237121032585,10.495701010440154,31.514720678916888,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,210.0,5.0,37.0,1193.0,0.1,28.00800000000001,0.0,0.0,199.5052614212036,,,,,,,,,,,,,,,,,,,,,11.627863057796365,9.47899290955629,27.6330074487516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,265.0,6.0,55.0,1248.0,0.1,39.014999999999965,0.0,0.0,204.66110253334045,,,,,,,,,,,,,,,,,,,,,14.711704146424495,13.172569004070189,38.282382755074046,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,324.0,7.0,59.0,1307.0,0.1,51.006999999999984,0.0,0.0,210.16560697555542,,,,,,,,,,,,,,,,,,,,,22.953311463801153,16.080166198084505,49.75220929000646,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,378.0,8.0,54.0,1361.0,0.1,47.005999999999986,0.0,0.0,215.28607392311096,,,,,,,,,,,,,,,,,,,,,21.427542585858834,14.804231125642218,45.94074825612763,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,414.0,9.0,36.0,1397.0,0.1,28.00700000000001,0.0,0.0,219.04223537445068,,,,,,,,,,,,,,,,,,,,,11.949849762057692,9.406803309628266,27.632041860244563,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,543.0,10.0,129.0,1526.0,0.1,113.01500000000004,0.0,0.0,230.42834615707397,,,,,,,,,,,,,,,,,,,,,51.4647190808994,31.945669009809407,106.58912289523157,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
